time,FL_p_test,TC_t_test
1.681515151515152,"[0.3537262387080314, -44.97402702470856, 35.49673394751378]","[-0.55381587177374, -44.55847587308283, 36.01446745212]"
1.691464646464647,"[0.3644588961647198, -46.29901039714247, 33.750187495331694]","[-0.617262727674302, -44.13549643528759, 36.530580219146316]"
1.701414141414141,"[0.3581897911767117, -46.9464221577659, 32.84374364578539]","[-0.6544698681291915, -47.50227206746852, 32.02986368425028]"
1.711363636363637,"[0.3564813201487263, -45.68959316950518, 34.57080194449118]","[-0.6088999858510682, -48.89837576203515, 29.85606200847305]"
1.721313131313132,"[0.3754081829168441, -44.38349627475683, 36.23217737228318]","[-0.5877680757876147, -46.358718318993425, 33.66496865468691]"
1.731262626262626,"[0.3998904369403033, -44.96942553943671, 35.50207323950596]","[-0.6336054748707347, -43.53291400984914, 37.246346021120495]"
1.741212121212121,"[0.4068127298472506, -46.406572382665885, 33.60165015452321]","[-0.7112593843697089, -44.1756953186832, 36.48024675369893]"
1.751161616161616,"[0.3992362019282691, -46.81035637177967, 33.036911127007635]","[-0.7400910401344135, -47.447355122948636, 32.109299386639634]"
1.761111111111111,"[0.3954738400225992, -45.82123668888016, 34.39570058532352]","[-0.6969694005442381, -49.10939231413407, 29.505731141642936]"
1.771060606060606,"[0.40940778305540027, -44.26274510215742, 36.379226645166014]","[-0.6558861784526839, -47.494940502859485, 32.040705203888635]"
1.781010101010101,"[0.4411863977701989, -44.041426357269096, 36.64647962617159]","[-0.6824544450799507, -43.85592790257388, 36.864592683852834]"
1.790959595959596,"[0.4609592104013074, -45.856291982254724, 34.34813462557017]","[-0.7913098146425332, -42.99466698152254, 37.863422850251794]"
1.800909090909091,"[0.45100902367410567, -46.641797330126956, 33.2737987414673]","[-0.8516712832882087, -47.339243711691154, 32.26572501652607]"
1.810858585858586,"[0.4464428753911751, -45.389509903053764, 34.96282925524392]","[-0.7896827722731006, -49.24047534535972, 29.284097030537588]"
1.820808080808081,"[0.4591635269500086, -43.951647390151564, 36.75388701292757]","[-0.7458531901242872, -47.909932009850735, 31.414781040809515]"
1.830757575757576,"[0.4716312959115091, -43.41306564202708, 37.38836243396477]","[-0.740094842545793, -46.54177780516491, 33.408405055770615]"
1.840707070707071,"[0.46852511658722323, -43.51090282451995, 37.27449757705733]","[-0.7401992594342703, -46.87777358590402, 32.93528197384677]"
1.850656565656566,"[0.45301395546055345, -44.4197226510575, 36.186867341219674]","[-0.7567107900823081, -48.59509908123014, 30.34386402680684]"
1.860606060606061,"[0.4467521838935448, -46.277335058677856, 33.77891387189346]","[-0.8317530749181613, -48.70242913054751, 30.16932106657534]"
